,iso2,year,sex,age,cases
839,IT,2007,m,15 - 24,75
840,IT,2008,m,15 - 24,78
841,JM,2008,m,15 - 24,2
842,JO,2008,m,15 - 24,13
843,JP,2008,m,15 - 24,117
844,KE,2008,m,15 - 24,4709
845,KG,2005,m,15 - 24,247
846,KI,2008,m,15 - 24,30
847,KM,2008,m,15 - 24,11
848,KN,2008,m,15 - 24,0
849,KP,2008,m,15 - 24,2341
850,KR,2008,m,15 - 24,492
851,KW,2008,m,15 - 24,18
852,KZ,2005,m,15 - 24,917
853,KZ,2007,m,15 - 24,881
854,KZ,2008,m,15 - 24,897
855,LB,2008,m,15 - 24,9
856,LC,2008,m,15 - 24,2
857,LR,2008,m,15 - 24,129
858,LS,2008,m,15 - 24,223
859,LT,2005,m,15 - 24,42
860,LT,2006,m,15 - 24,38
861,LT,2007,m,15 - 24,31
862,LT,2008,m,15 - 24,39
863,LU,2005,m,15 - 24,0
864,LU,2006,m,15 - 24,0
865,LU,2007,m,15 - 24,0
866,LU,2008,m,15 - 24,0
867,LV,2005,m,15 - 24,22
868,LV,2006,m,15 - 24,27
869,LV,2008,m,15 - 24,28
870,LY,2008,m,15 - 24,116
871,MA,2008,m,15 - 24,1992
872,MD,2005,m,15 - 24,211
873,MD,2007,m,15 - 24,181
874,MD,2008,m,15 - 24,167
875,ME,2005,m,15 - 24,3
876,ME,2007,m,15 - 24,0
877,ME,2008,m,15 - 24,2
878,MG,2008,m,15 - 24,1499
879,MH,2008,m,15 - 24,1
880,MK,2005,m,15 - 24,14
881,MK,2006,m,15 - 24,15
882,MK,2007,m,15 - 24,12
883,MK,2008,m,15 - 24,18
884,ML,2008,m,15 - 24,453
885,MO,2008,m,15 - 24,18
886,MP,2008,m,15 - 24,1
887,MT,2005,m,15 - 24,1
888,MT,2006,m,15 - 24,1
889,MT,2007,m,15 - 24,0
890,MT,2008,m,15 - 24,3
891,MU,2008,m,15 - 24,11
892,MX,2008,m,15 - 24,966
893,MY,2008,m,15 - 24,1436
894,NC,2008,m,15 - 24,1
895,NL,2005,m,15 - 24,23
896,NL,2006,m,15 - 24,25
897,NL,2007,m,15 - 24,10
898,NL,2008,m,15 - 24,16
899,NO,2005,m,15 - 24,9
900,NO,2006,m,15 - 24,5
901,NO,2008,m,15 - 24,10
902,NR,2008,m,15 - 24,1
903,NZ,2008,m,15 - 24,9
904,OM,2008,m,15 - 24,18
905,PE,2008,m,15 - 24,3406
906,PF,2008,m,15 - 24,3
907,PL,2005,m,15 - 24,109
908,PL,2006,m,15 - 24,92
909,PL,2007,m,15 - 24,85
910,PL,2008,m,15 - 24,66
911,PR,2008,m,15 - 24,2
912,PS,2008,m,15 - 24,1
913,PT,2005,m,15 - 24,85
914,PT,2006,m,15 - 24,80
915,PT,2007,m,15 - 24,69
916,PT,2008,m,15 - 24,51
917,PY,2008,m,15 - 24,238
918,QA,2008,m,15 - 24,47
919,RO,2005,m,15 - 24,752
920,RO,2006,m,15 - 24,748
921,RO,2008,m,15 - 24,671
922,RS,2005,m,15 - 24,62
923,RS,2006,m,15 - 24,87
924,RS,2007,m,15 - 24,42
925,RS,2008,m,15 - 24,37
926,RU,2008,m,15 - 24,2495
927,SB,2008,m,15 - 24,17
928,SC,2008,m,15 - 24,0
929,SD,2008,m,15 - 24,1241
930,SE,2005,m,15 - 24,7
931,SE,2006,m,15 - 24,4
932,SE,2007,m,15 - 24,7
933,SE,2008,m,15 - 24,14
934,SG,2008,m,15 - 24,10
935,SI,2005,m,15 - 24,4
936,SI,2006,m,15 - 24,3
937,SI,2007,m,15 - 24,0
938,SI,2008,m,15 - 24,3
939,SK,2005,m,15 - 24,3
940,SK,2006,m,15 - 24,8
941,SK,2007,m,15 - 24,8
942,SK,2008,m,15 - 24,2
943,SN,2008,m,15 - 24,1274
944,SV,2008,m,15 - 24,107
945,SZ,2008,m,15 - 24,231
946,TJ,2005,m,15 - 24,308
947,TJ,2008,m,15 - 24,437
948,TM,2005,m,15 - 24,148
949,TM,2007,m,15 - 24,176
950,TO,2008,m,15 - 24,2
951,TR,2005,m,15 - 24,1148
952,TR,2006,m,15 - 24,1212
953,TR,2007,m,15 - 24,1091
954,TR,2008,m,15 - 24,940
955,TT,2008,m,15 - 24,9
956,TV,2008,m,15 - 24,2
957,UA,2007,m,15 - 24,1556
958,UG,2008,m,15 - 24,1953
959,US,2008,m,15 - 24,375
960,UY,2008,m,15 - 24,49
961,UZ,2007,m,15 - 24,569
962,VE,2008,m,15 - 24,364
963,ZA,2008,m,15 - 24,10172
964,AD,2005,m,25 - 34,1
965,AD,2006,m,25 - 34,1
966,AD,2008,m,25 - 34,0
967,AE,2008,m,25 - 34,1
968,AL,2005,m,25 - 34,21
969,AL,2006,m,25 - 34,19
970,AL,2007,m,25 - 34,13
971,AM,2005,m,25 - 34,104
972,AM,2006,m,25 - 34,116
973,AM,2007,m,25 - 34,87
974,AM,2008,m,25 - 34,103
975,AR,2008,m,25 - 34,611
976,AT,2005,m,25 - 34,23
977,AT,2006,m,25 - 34,25
978,AZ,2005,m,25 - 34,297
979,AZ,2006,m,25 - 34,362
980,BA,2005,m,25 - 34,58
981,BA,2006,m,25 - 34,58
982,BA,2007,m,25 - 34,0
983,BA,2008,m,25 - 34,35
984,BB,2008,m,25 - 34,1
985,BE,2005,m,25 - 34,50
986,BE,2006,m,25 - 34,52
987,BE,2008,m,25 - 34,40
988,BG,2005,m,25 - 34,150
989,BG,2008,m,25 - 34,145
990,BH,2008,m,25 - 34,48
991,BN,2008,m,25 - 34,10
992,BR,2008,m,25 - 34,6173
993,BS,2008,m,25 - 34,6
994,BW,2008,m,25 - 34,528
995,BZ,2008,m,25 - 34,12
996,CA,2008,m,25 - 34,36
997,CH,2005,m,25 - 34,9
998,CH,2006,m,25 - 34,15
999,CH,2007,m,25 - 34,10
1000,CH,2008,m,25 - 34,13
1001,CM,2008,m,25 - 34,2861
1002,CY,2005,m,25 - 34,1
1003,CY,2006,m,25 - 34,1
1004,CY,2007,m,25 - 34,1
1005,CY,2008,m,25 - 34,0
1006,CZ,2005,m,25 - 34,24
1007,CZ,2006,m,25 - 34,19
1008,CZ,2007,m,25 - 34,26
1009,CZ,2008,m,25 - 34,29
1010,DE,2005,m,25 - 34,113
1011,DE,2006,m,25 - 34,138
1012,DE,2007,m,25 - 34,248
1013,DE,2008,m,25 - 34,95
1014,DK,2005,m,25 - 34,12
1015,DK,2006,m,25 - 34,13
1016,DK,2007,m,25 - 34,12
1017,DK,2008,m,25 - 34,15
1018,DM,2008,m,25 - 34,0
1019,DO,2008,m,25 - 34,398
1020,EE,2005,m,25 - 34,25
1021,EE,2006,m,25 - 34,19
1022,EE,2007,m,25 - 34,26
1023,EE,2008,m,25 - 34,14
1024,EG,2008,m,25 - 34,640
1025,ES,2005,m,25 - 34,394
1026,ES,2006,m,25 - 34,332
1027,ES,2007,m,25 - 34,375
1028,ES,2008,m,25 - 34,355
1029,FI,2005,m,25 - 34,4
1030,FI,2006,m,25 - 34,6
1031,FI,2007,m,25 - 34,5
1032,FI,2008,m,25 - 34,5
1033,FM,2008,m,25 - 34,3
1034,FR,2005,m,25 - 34,212
1035,FR,2006,m,25 - 34,214
1036,FR,2007,m,25 - 34,225
1037,FR,2008,m,25 - 34,136
1038,GB,2005,m,25 - 34,200
1039,GB,2006,m,25 - 34,244
1040,GB,2007,m,25 - 34,286
1041,GB,2008,m,25 - 34,188
1042,GE,2006,m,25 - 34,392
1043,GE,2007,m,25 - 34,388
1044,GE,2008,m,25 - 34,974
1045,GM,2008,m,25 - 34,307
1046,GR,2005,m,25 - 34,25
1047,GR,2006,m,25 - 34,32
1048,GR,2007,m,25 - 34,22
1049,GR,2008,m,25 - 34,14
1050,GT,2008,m,25 - 34,257
1051,GU,2008,m,25 - 34,1
1052,GY,2008,m,25 - 34,51
1053,HK,2008,m,25 - 34,79
1054,HN,2008,m,25 - 34,263
1055,HR,2005,m,25 - 34,27
1056,HR,2006,m,25 - 34,23
1057,HR,2008,m,25 - 34,25
1058,HT,2008,m,25 - 34,1337
1059,HU,2005,m,25 - 34,24
1060,HU,2006,m,25 - 34,31
1061,HU,2007,m,25 - 34,31
1062,HU,2008,m,25 - 34,23
1063,ID,2008,m,25 - 34,22325
1064,IE,2005,m,25 - 34,10
1065,IE,2006,m,25 - 34,18
1066,IE,2007,m,25 - 34,49
1067,IE,2008,m,25 - 34,18
1068,IL,2005,m,25 - 34,10
1069,IL,2006,m,25 - 34,12
1070,IL,2007,m,25 - 34,20
1071,IL,2008,m,25 - 34,25
1072,IQ,2008,m,25 - 34,525
1073,IR,2008,m,25 - 34,466
1074,IS,2005,m,25 - 34,0
1075,IS,2006,m,25 - 34,0
1076,IS,2007,m,25 - 34,0
1077,IS,2008,m,25 - 34,1
1078,IT,2005,m,25 - 34,191
1079,IT,2006,m,25 - 34,201
1080,IT,2007,m,25 - 34,170
1081,IT,2008,m,25 - 34,148
1082,JM,2008,m,25 - 34,10
1083,JO,2008,m,25 - 34,10
1084,JP,2008,m,25 - 34,339
1085,KE,2008,m,25 - 34,8128
1086,KG,2005,m,25 - 34,303
1087,KI,2008,m,25 - 34,9
1088,KM,2008,m,25 - 34,11
1089,KN,2008,m,25 - 34,0
1090,KP,2008,m,25 - 34,3320
1091,KR,2008,m,25 - 34,865
1092,KW,2008,m,25 - 34,90
1093,KZ,2005,m,25 - 34,1142
1094,KZ,2007,m,25 - 34,976
1095,KZ,2008,m,25 - 34,968
1096,LB,2008,m,25 - 34,14
1097,LC,2008,m,25 - 34,0
1098,LR,2008,m,25 - 34,412
1099,LS,2008,m,25 - 34,615
1100,LT,2005,m,25 - 34,118
1101,LT,2006,m,25 - 34,120
1102,LT,2007,m,25 - 34,77
1103,LT,2008,m,25 - 34,110
1104,LU,2005,m,25 - 34,2
1105,LU,2006,m,25 - 34,3
1106,LU,2007,m,25 - 34,0
1107,LU,2008,m,25 - 34,0
1108,LV,2005,m,25 - 34,71
1109,LV,2006,m,25 - 34,78
1110,LV,2008,m,25 - 34,54
1111,LY,2008,m,25 - 34,298
1112,MA,2008,m,25 - 34,2372
1113,MD,2005,m,25 - 34,337
1114,MD,2007,m,25 - 34,281
1115,MD,2008,m,25 - 34,271
1116,ME,2005,m,25 - 34,5
1117,ME,2007,m,25 - 34,6
1118,ME,2008,m,25 - 34,7
1119,MG,2008,m,25 - 34,2294
1120,MH,2008,m,25 - 34,1
1121,MK,2005,m,25 - 34,20
1122,MK,2006,m,25 - 34,15
1123,MK,2007,m,25 - 34,22
1124,MK,2008,m,25 - 34,21
1125,ML,2008,m,25 - 34,809
1126,MO,2008,m,25 - 34,12
1127,MP,2008,m,25 - 34,0
1128,MT,2005,m,25 - 34,1
1129,MT,2006,m,25 - 34,0
1130,MT,2007,m,25 - 34,2
1131,MT,2008,m,25 - 34,6
1132,MU,2008,m,25 - 34,15
1133,MX,2008,m,25 - 34,1292
1134,MY,2008,m,25 - 34,2445
1135,NC,2008,m,25 - 34,1
1136,NL,2005,m,25 - 34,42
1137,NL,2006,m,25 - 34,23
1138,NL,2007,m,25 - 34,22
1139,NL,2008,m,25 - 34,24
1140,NO,2005,m,25 - 34,4
1141,NO,2006,m,25 - 34,10
1142,NO,2008,m,25 - 34,8
1143,NR,2008,m,25 - 34,0
1144,NZ,2008,m,25 - 34,4
1145,OM,2008,m,25 - 34,28
1146,PE,2008,m,25 - 34,2233
1147,PF,2008,m,25 - 34,1
1148,PL,2005,m,25 - 34,199
1149,PL,2006,m,25 - 34,215
1150,PL,2007,m,25 - 34,213
1151,PL,2008,m,25 - 34,175
1152,PR,2008,m,25 - 34,4
1153,PS,2008,m,25 - 34,1
1154,PT,2005,m,25 - 34,227
1155,PT,2006,m,25 - 34,211
1156,PT,2007,m,25 - 34,178
1157,PT,2008,m,25 - 34,155
1158,PY,2008,m,25 - 34,227
1159,QA,2008,m,25 - 34,67
1160,RO,2005,m,25 - 34,1511
1161,RO,2006,m,25 - 34,1306
1162,RO,2008,m,25 - 34,1124
1163,RS,2005,m,25 - 34,96
1164,RS,2006,m,25 - 34,91
1165,RS,2007,m,25 - 34,59
1166,RS,2008,m,25 - 34,51
1167,RU,2008,m,25 - 34,6475
1168,SB,2008,m,25 - 34,12
1169,SC,2008,m,25 - 34,1
1170,SD,2008,m,25 - 34,1740
1171,SE,2005,m,25 - 34,21
1172,SE,2006,m,25 - 34,15
1173,SE,2007,m,25 - 34,20
1174,SE,2008,m,25 - 34,15
1175,SG,2008,m,25 - 34,21
1176,SI,2005,m,25 - 34,10
1177,SI,2006,m,25 - 34,5
1178,SI,2007,m,25 - 34,7
1179,SI,2008,m,25 - 34,12
1180,SK,2005,m,25 - 34,13
1181,SK,2006,m,25 - 34,11
1182,SK,2007,m,25 - 34,10
1183,SK,2008,m,25 - 34,7
1184,SN,2008,m,25 - 34,1767
1185,SV,2008,m,25 - 34,168
1186,SZ,2008,m,25 - 34,552
1187,TJ,2005,m,25 - 34,279
1188,TJ,2008,m,25 - 34,358
1189,TM,2005,m,25 - 34,181
1190,TM,2007,m,25 - 34,272
1191,TO,2008,m,25 - 34,0
1192,TR,2005,m,25 - 34,1295
1193,TR,2006,m,25 - 34,1391
1194,TR,2007,m,25 - 34,1245
1195,TR,2008,m,25 - 34,1090
1196,TT,2008,m,25 - 34,15
1197,TV,2008,m,25 - 34,1
1198,UA,2007,m,25 - 34,4507
1199,UG,2008,m,25 - 34,4697
1200,US,2008,m,25 - 34,513
1201,UY,2008,m,25 - 34,71
1202,UZ,2007,m,25 - 34,768
1203,VE,2008,m,25 - 34,358
1204,ZA,2008,m,25 - 34,21706
1205,AD,2005,m,,1
1206,AD,2006,m,,2
1207,AD,2008,m,,0
1208,AE,2008,m,,7
1209,AL,2005,m,,16
1210,AL,2006,m,,22
1211,AL,2007,m,,16
1212,AM,2005,m,,83
1213,AM,2006,m,,96
1214,AM,2007,m,,100
1215,AM,2008,m,,74
1216,AR,2008,m,,390
1217,AT,2005,m,,22
1218,AT,2006,m,,36
1219,AZ,2005,m,,215
1220,AZ,2006,m,,365
1221,BA,2005,m,,61
1222,BA,2006,m,,47
1223,BA,2007,m,,0
1224,BA,2008,m,,38
1225,BB,2008,m,,0
1226,BE,2005,m,,32
1227,BE,2006,m,,38
1228,BE,2008,m,,43
1229,BG,2005,m,,195
1230,BG,2008,m,,151
1231,BH,2008,m,,27
1232,BN,2008,m,,12
1233,BR,2008,m,,5305
1234,BS,2008,m,,5
1235,BW,2008,m,,384
1236,BZ,2008,m,,15
1237,CA,2008,m,,49
1238,CH,2005,m,,13
1239,CH,2006,m,,11
1240,CH,2007,m,,11
1241,CH,2008,m,,5
1242,CM,2008,m,,2016
1243,CY,2005,m,,1
1244,CY,2006,m,,1
1245,CY,2007,m,,0
1246,CY,2008,m,,0
1247,CZ,2005,m,,57
1248,CZ,2006,m,,39
1249,CZ,2007,m,,35
1250,CZ,2008,m,,39
1251,DE,2005,m,,171
1252,DE,2006,m,,169
1253,DE,2007,m,,314
1254,DE,2008,m,,114
1255,DK,2005,m,,18
1256,DK,2006,m,,15
1257,DK,2007,m,,20
1258,DK,2008,m,,9
1259,DM,2008,m,,1
1260,DO,2008,m,,337
1261,EE,2005,m,,19
1262,EE,2006,m,,24
1263,EE,2007,m,,32
1264,EE,2008,m,,26
1265,EG,2008,m,,807
1266,ES,2005,m,,367
1267,ES,2006,m,,311
1268,ES,2007,m,,379
1269,ES,2008,m,,349
1270,FI,2005,m,,3
1271,FI,2006,m,,5
1272,FI,2007,m,,5
1273,FI,2008,m,,8
1274,FM,2008,m,,1
1275,FR,2005,m,,222
1276,FR,2006,m,,238
1277,FR,2007,m,,196
1278,FR,2008,m,,161
1279,GB,2005,m,,166
1280,GB,2006,m,,213
1281,GB,2007,m,,223
1282,GB,2008,m,,155
1283,GE,2006,m,,300
1284,GE,2007,m,,308
1285,GE,2008,m,,906
1286,GM,2008,m,,167
1287,GR,2005,m,,22
1288,GR,2006,m,,22
1289,GR,2007,m,,34
1290,GR,2008,m,,12
1291,GT,2008,m,,193
1292,GU,2008,m,,7
1293,GY,2008,m,,71
1294,HK,2008,m,,95
1295,HN,2008,m,,202
1296,HR,2005,m,,48
1297,HR,2006,m,,58
1298,HR,2008,m,,34
1299,HT,2008,m,,696
1300,HU,2005,m,,67
1301,HU,2006,m,,71
1302,HU,2007,m,,48
1303,HU,2008,m,,47
1304,ID,2008,m,,19224
1305,IE,2005,m,,21
1306,IE,2006,m,,17
1307,IE,2007,m,,32
1308,IE,2008,m,,6
1309,IL,2005,m,,12
1310,IL,2006,m,,14
1311,IL,2007,m,,23
1312,IL,2008,m,,18
1313,IQ,2008,m,,317
1314,IR,2008,m,,330
1315,IS,2005,m,,1
1316,IS,2006,m,,0
1317,IS,2007,m,,0
1318,IS,2008,m,,1
1319,IT,2005,m,,137
1320,IT,2006,m,,197
1321,IT,2007,m,,113
1322,IT,2008,m,,137
1323,JM,2008,m,,10
1324,JO,2008,m,,3
1325,JP,2008,m,,456
1326,KE,2008,m,,4924
1327,KG,2005,m,,269
1328,KI,2008,m,,15
1329,KM,2008,m,,4
1330,KN,2008,m,,0
1331,KP,2008,m,,4263
1332,KR,2008,m,,1093
1333,KW,2008,m,,56
1334,KZ,2005,m,,983
1335,KZ,2007,m,,859
1336,KZ,2008,m,,811
1337,LB,2008,m,,12
1338,LC,2008,m,,2
1339,LR,2008,m,,532
1340,LS,2008,m,,542
1341,LT,2005,m,,186
1342,LT,2006,m,,207
1343,LT,2007,m,,165
1344,LT,2008,m,,162
1345,LU,2005,m,,2
1346,LU,2006,m,,2
1347,LU,2007,m,,1
1348,LU,2008,m,,0
1349,LV,2005,m,,104
1350,LV,2006,m,,82
1351,LV,2008,m,,71
1352,LY,2008,m,,162
1353,MA,2008,m,,1514
1354,MD,2005,m,,345
1355,MD,2007,m,,343
1356,MD,2008,m,,314
1357,ME,2005,m,,7
1358,ME,2007,m,,3
1359,ME,2008,m,,10
1360,MG,2008,m,,2113
1361,MH,2008,m,,2
1362,MK,2005,m,,23
1363,MK,2006,m,,25
1364,MK,2007,m,,27
1365,MK,2008,m,,13
1366,ML,2008,m,,640
1367,MO,2008,m,,10
1368,MP,2008,m,,1
1369,MT,2005,m,,1
1370,MT,2006,m,,2
1371,MT,2007,m,,0
1372,MT,2008,m,,2
1373,MU,2008,m,,14
1374,MX,2008,m,,1314
1375,MY,2008,m,,2318
1376,NC,2008,m,,0
1377,NL,2005,m,,23
1378,NL,2006,m,,31
1379,NL,2007,m,,28
1380,NL,2008,m,,26
1381,NO,2005,m,,6
1382,NO,2006,m,,5
1383,NO,2008,m,,7
1384,NR,2008,m,,0
1385,NZ,2008,m,,9
1386,OM,2008,m,,28
1387,PE,2008,m,,1564
1388,PF,2008,m,,1
1389,PL,2005,m,,389
1390,PL,2006,m,,390
1391,PL,2007,m,,395
1392,PL,2008,m,,397
1393,PR,2008,m,,3
1394,PS,2008,m,,3
1395,PT,2005,m,,284
1396,PT,2006,m,,259
1397,PT,2007,m,,268
1398,PT,2008,m,,212
1399,PY,2008,m,,138
1400,QA,2008,m,,26
1401,RO,2005,m,,1786
1402,RO,2006,m,,1624
1403,RO,2008,m,,1656
1404,RS,2005,m,,118
1405,RS,2006,m,,107
1406,RS,2007,m,,102
1407,RS,2008,m,,86
1408,RU,2008,m,,6005
1409,SB,2008,m,,11
1410,SC,2008,m,,0
1411,SD,2008,m,,1301
1412,SE,2005,m,,16
1413,SE,2006,m,,14
1414,SE,2007,m,,10
1415,SE,2008,m,,9
1416,SG,2008,m,,46
1417,SI,2005,m,,16
1418,SI,2006,m,,9
1419,SI,2007,m,,15
1420,SI,2008,m,,9
1421,SK,2005,m,,16
1422,SK,2006,m,,18
1423,SK,2007,m,,18
1424,SK,2008,m,,16
1425,SN,2008,m,,907
1426,SV,2008,m,,112
1427,SZ,2008,m,,357
1428,TJ,2005,m,,164
1429,TJ,2008,m,,165
1430,TM,2005,m,,146
1431,TM,2007,m,,224
1432,TO,2008,m,,2
1433,TR,2005,m,,1028
1434,TR,2006,m,,1003
1435,TR,2007,m,,984
1436,TR,2008,m,,953
1437,TT,2008,m,,19
1438,TV,2008,m,,0
1439,UA,2007,m,,5206
1440,UG,2008,m,,3922
1441,US,2008,m,,495
1442,UY,2008,m,,64
1443,UZ,2007,m,,579
1444,VE,2008,m,,326
1445,ZA,2008,m,,20699
1446,AD,2005,m,45 - 54,0
1447,AD,2006,m,45 - 54,0
1448,AD,2008,m,45 - 54,1
1449,AE,2008,m,45 - 54,5
1450,AL,2005,m,45 - 54,31
1451,AL,2006,m,45 - 54,21
1452,AL,2007,m,45 - 54,24
1453,AM,2005,m,45 - 54,84
1454,AM,2006,m,45 - 54,98
1455,AM,2007,m,45 - 54,92
1456,AM,2008,m,45 - 54,87
1457,AR,2008,m,45 - 54,416
1458,AT,2005,m,45 - 54,41
1459,AT,2006,m,45 - 54,39
1460,AZ,2005,m,45 - 54,209
1461,AZ,2006,m,45 - 54,120
1462,BA,2005,m,45 - 54,78
1463,BA,2006,m,45 - 54,53
1464,BA,2007,m,45 - 54,0
1465,BA,2008,m,45 - 54,84
1466,BB,2008,m,45 - 54,0
1467,BE,2005,m,45 - 54,27
1468,BE,2006,m,45 - 54,45
1469,BE,2008,m,45 - 54,32
1470,BG,2005,m,45 - 54,195
1471,BG,2008,m,45 - 54,159
1472,BH,2008,m,45 - 54,8
1473,BN,2008,m,45 - 54,21
1474,BR,2008,m,45 - 54,4854
1475,BS,2008,m,45 - 54,7
1476,BW,2008,m,45 - 54,220
1477,BZ,2008,m,45 - 54,9
1478,CA,2008,m,45 - 54,53
1479,CH,2005,m,45 - 54,12
1480,CH,2006,m,45 - 54,8
1481,CH,2007,m,45 - 54,7
1482,CH,2008,m,45 - 54,4
1483,CM,2008,m,45 - 54,1135
1484,CY,2005,m,45 - 54,1
1485,CY,2006,m,45 - 54,0
1486,CY,2007,m,45 - 54,0
1487,CY,2008,m,45 - 54,1
1488,CZ,2005,m,45 - 54,55
1489,CZ,2006,m,45 - 54,56
1490,CZ,2007,m,45 - 54,63
1491,CZ,2008,m,45 - 54,44
1492,DE,2005,m,45 - 54,167
1493,DE,2006,m,45 - 54,189
1494,DE,2007,m,45 - 54,344
1495,DE,2008,m,45 - 54,142
1496,DK,2005,m,45 - 54,23
1497,DK,2006,m,45 - 54,27
1498,DK,2007,m,45 - 54,29
1499,DK,2008,m,45 - 54,24
1500,DM,2008,m,45 - 54,2
1501,DO,2008,m,45 - 54,198
1502,EE,2005,m,45 - 54,40
1503,EE,2006,m,45 - 54,40
1504,EE,2007,m,45 - 54,37
1505,EE,2008,m,45 - 54,34
1506,EG,2008,m,45 - 54,791
1507,ES,2005,m,45 - 54,230
1508,ES,2006,m,45 - 54,232
1509,ES,2007,m,45 - 54,257
1510,ES,2008,m,45 - 54,268
1511,FI,2005,m,45 - 54,14
1512,FI,2006,m,45 - 54,9
1513,FI,2007,m,45 - 54,10
1514,FI,2008,m,45 - 54,13
1515,FM,2008,m,45 - 54,3
1516,FR,2005,m,45 - 54,196
1517,FR,2006,m,45 - 54,209
1518,FR,2007,m,45 - 54,219
1519,FR,2008,m,45 - 54,134
1520,GB,2005,m,45 - 54,95
1521,GB,2006,m,45 - 54,148
1522,GB,2007,m,45 - 54,169
1523,GB,2008,m,45 - 54,111
1524,GE,2006,m,45 - 54,241
1525,GE,2007,m,45 - 54,230
1526,GE,2008,m,45 - 54,739
1527,GM,2008,m,45 - 54,125
1528,GR,2005,m,45 - 54,14
1529,GR,2006,m,45 - 54,24
1530,GR,2007,m,45 - 54,28
1531,GR,2008,m,45 - 54,4
1532,GT,2008,m,45 - 54,163
1533,GU,2008,m,45 - 54,8
1534,GY,2008,m,45 - 54,47
1535,HK,2008,m,45 - 54,166
1536,HN,2008,m,45 - 54,140
1537,HR,2005,m,45 - 54,72
1538,HR,2006,m,45 - 54,69
1539,HR,2008,m,45 - 54,63
1540,HT,2008,m,45 - 54,491
1541,HU,2005,m,45 - 54,117
1542,HU,2006,m,45 - 54,98
1543,HU,2007,m,45 - 54,103
1544,HU,2008,m,45 - 54,86
1545,ID,2008,m,45 - 54,18545
1546,IE,2005,m,45 - 54,10
1547,IE,2006,m,45 - 54,11
1548,IE,2007,m,45 - 54,28
1549,IE,2008,m,45 - 54,21
1550,IL,2005,m,45 - 54,12
1551,IL,2006,m,45 - 54,4
1552,IL,2007,m,45 - 54,13
1553,IL,2008,m,45 - 54,14
1554,IQ,2008,m,45 - 54,273
1555,IR,2008,m,45 - 54,322
1556,IS,2005,m,45 - 54,0
1557,IS,2006,m,45 - 54,0
1558,IS,2007,m,45 - 54,0
1559,IS,2008,m,45 - 54,0
1560,IT,2005,m,45 - 54,101
1561,IT,2006,m,45 - 54,105
1562,IT,2007,m,45 - 54,87
1563,IT,2008,m,45 - 54,72
1564,JM,2008,m,45 - 54,11
1565,JO,2008,m,45 - 54,5
1566,JP,2008,m,45 - 54,599
1567,KE,2008,m,45 - 54,2302
1568,KG,2005,m,45 - 54,194
1569,KI,2008,m,45 - 54,10
1570,KM,2008,m,45 - 54,9
1571,KN,2008,m,45 - 54,3
1572,KP,2008,m,45 - 54,3988
1573,KR,2008,m,45 - 54,1400
1574,KW,2008,m,45 - 54,34
1575,KZ,2005,m,45 - 54,795
1576,KZ,2007,m,45 - 54,714
1577,KZ,2008,m,45 - 54,752
1578,LB,2008,m,45 - 54,17
1579,LC,2008,m,45 - 54,2
1580,LR,2008,m,45 - 54,308
1581,LS,2008,m,45 - 54,380
1582,LT,2005,m,45 - 54,187
1583,LT,2006,m,45 - 54,211
1584,LT,2007,m,45 - 54,235
1585,LT,2008,m,45 - 54,182
1586,LU,2005,m,45 - 54,1
1587,LU,2006,m,45 - 54,3
1588,LU,2007,m,45 - 54,0
1589,LU,2008,m,45 - 54,0
1590,LV,2005,m,45 - 54,117
1591,LV,2006,m,45 - 54,105
1592,LV,2008,m,45 - 54,71
1593,LY,2008,m,45 - 54,85
1594,MA,2008,m,45 - 54,1179
1595,MD,2005,m,45 - 54,313
1596,MD,2007,m,45 - 54,314
1597,MD,2008,m,45 - 54,317
1598,ME,2005,m,45 - 54,15
1599,ME,2007,m,45 - 54,10
1600,ME,2008,m,45 - 54,5
1601,MG,2008,m,45 - 54,1669
1602,MH,2008,m,45 - 54,3
1603,MK,2005,m,45 - 54,20
1604,MK,2006,m,45 - 54,37
1605,MK,2007,m,45 - 54,46
1606,MK,2008,m,45 - 54,25
1607,ML,2008,m,45 - 54,503
1608,MO,2008,m,45 - 54,29
1609,MP,2008,m,45 - 54,5
1610,MT,2005,m,45 - 54,1
1611,MT,2006,m,45 - 54,0
1612,MT,2007,m,45 - 54,0
1613,MT,2008,m,45 - 54,0
1614,MU,2008,m,45 - 54,15
1615,MX,2008,m,45 - 54,1267
1616,MY,2008,m,45 - 54,2169
1617,NC,2008,m,45 - 54,2
1618,NL,2005,m,45 - 54,26
1619,NL,2006,m,45 - 54,23
1620,NL,2007,m,45 - 54,21
1621,NL,2008,m,45 - 54,19
1622,NO,2005,m,45 - 54,4
1623,NO,2006,m,45 - 54,3
1624,NO,2008,m,45 - 54,2
1625,NR,2008,m,45 - 54,1
1626,NZ,2008,m,45 - 54,5
1627,OM,2008,m,45 - 54,28
1628,PE,2008,m,45 - 54,1121
1629,PF,2008,m,45 - 54,1
1630,PL,2005,m,45 - 54,639
1631,PL,2006,m,45 - 54,649
1632,PL,2007,m,45 - 54,677
1633,PL,2008,m,45 - 54,653
1634,PR,2008,m,45 - 54,13
1635,PS,2008,m,45 - 54,2
1636,PT,2005,m,45 - 54,181
1637,PT,2006,m,45 - 54,190
1638,PT,2007,m,45 - 54,188
1639,PT,2008,m,45 - 54,179
